File,Author,ChurnSize
components/camel-cxf/src/test/java/org/apache/camel/component/cxf/util,Hadrian Zbarcea,
components/camel-cxf/src/test/resources/org/apache/camel/component/cxf/cxfbean,Hadrian Zbarcea,
components/camel-cxf/src/test/resources/org/apache/camel/component/cxf/jaxrs,Hadrian Zbarcea,
components/camel-dns,Hadrian Zbarcea,1814.0
components/camel-dozer,Hadrian Zbarcea,1814.0
components/camel-dozer/src/main/java/org/apache/camel/converter/dozer,Hadrian Zbarcea,
components/camel-dynamicep,Hadrian Zbarcea,
components/camel-dynamicep/src/main/java/org/apache/camel/dynamicep,Hadrian Zbarcea,
components/camel-dynamicep/src/main/resources/META-INF/services/org/apache/camel/component,Hadrian Zbarcea,
components/camel-dynamicep/src/test/java/org/apache/camel/camel_dynamicep,Hadrian Zbarcea,
components/camel-dynamicep/src/test/resources,Hadrian Zbarcea,
components/camel-eclipse,Hadrian Zbarcea,1814.0
components/camel-ejb,Hadrian Zbarcea,1814.0
components/camel-eventadmin,Hadrian Zbarcea,1814.0
components/camel-exec,Hadrian Zbarcea,1814.0
components/camel-exec/src/main/java/org/apache/camel/component/exec,Hadrian Zbarcea,
components/camel-exec/src/test/java/org/apache/camel/component/exec,Hadrian Zbarcea,
components/camel-flatpack,Hadrian Zbarcea,1814.0
components/camel-flatpack/src/main/java/org/apache/camel/component/flatpack,Hadrian Zbarcea,
components/camel-flatpack/src/test/data/fixedLong,Hadrian Zbarcea,
components/camel-flatpack/src/test/java/org/apache/camel/component/flatpack,Hadrian Zbarcea,
components/camel-fop,Hadrian Zbarcea,1814.0
components/camel-fop/src/main/java/org/apache/camel/component/fop,Hadrian Zbarcea,34.0
components/camel-freemarker,Hadrian Zbarcea,1814.0
components/camel-freemarker/src/main/java/org/apache/camel/component/freemarker,Hadrian Zbarcea,
components/camel-ftp,Hadrian Zbarcea,1849.0
components/camel-ftp/src/main/java/org/apache/camel/component/file/remote,Hadrian Zbarcea,
components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/strategy,Hadrian Zbarcea,
components/camel-ftp/src/test/java/org/apache/camel/component/file/remote,Hadrian Zbarcea,
components/camel-gae,Hadrian Zbarcea,1814.0
components/camel-gae/src/test/java/org/apache/camel/component/gae/task,Hadrian Zbarcea,
components/camel-groovy,Hadrian Zbarcea,1814.0
components/camel-gson,Hadrian Zbarcea,1814.0
