File,Author,ChurnSize
src/test/java/org/apache/hadoop/hbase/replication/regionserver,Jean-Daniel Cryans,
src/test/java/org/apache/hadoop/hbase/rest/model,Jean-Daniel Cryans,
src/test/java/org/apache/hadoop/hbase/thrift,Jean-Daniel Cryans,
src/test/java/org/apache/hadoop/hbase/util,Jean-Daniel Cryans,
src/test/java/org/apache/hadoop/hbase/util/hbck,Jean-Daniel Cryans,
src/test/java/org/apache/hadoop/hbase/zookeeper,Jean-Daniel Cryans,
,ramkrishna,2.0
bin,ramkrishna,
conf,ramkrishna,
dev-support,ramkrishna,
security/src/main/java/org/apache/hadoop/hbase/ipc,ramkrishna,
security/src/main/java/org/apache/hadoop/hbase/security/access,ramkrishna,
security/src/test/java/org/apache/hadoop/hbase/security/access,ramkrishna,
src/docbkx,ramkrishna,
src/main/java/org/apache/hadoop/hbase,ramkrishna,
src/main/java/org/apache/hadoop/hbase/client,ramkrishna,47.0
src/main/java/org/apache/hadoop/hbase/client/coprocessor,ramkrishna,
src/main/java/org/apache/hadoop/hbase/client/replication,ramkrishna,
src/main/java/org/apache/hadoop/hbase/coprocessor,ramkrishna,
src/main/java/org/apache/hadoop/hbase/executor,ramkrishna,
src/main/java/org/apache/hadoop/hbase/filter,ramkrishna,
src/main/java/org/apache/hadoop/hbase/fs,ramkrishna,
src/main/java/org/apache/hadoop/hbase/io/hfile,ramkrishna,
src/main/java/org/apache/hadoop/hbase/ipc,ramkrishna,
src/main/java/org/apache/hadoop/hbase/mapred,ramkrishna,
src/main/java/org/apache/hadoop/hbase/mapreduce,ramkrishna,
src/main/java/org/apache/hadoop/hbase/master,ramkrishna,41.0
src/main/java/org/apache/hadoop/hbase/master/handler,ramkrishna,
src/main/java/org/apache/hadoop/hbase/metrics,ramkrishna,
src/main/java/org/apache/hadoop/hbase/metrics/histogram,ramkrishna,
src/main/java/org/apache/hadoop/hbase/monitoring,ramkrishna,
src/main/java/org/apache/hadoop/hbase/regionserver,ramkrishna,189.0
src/main/java/org/apache/hadoop/hbase/regionserver/handler,ramkrishna,
src/main/java/org/apache/hadoop/hbase/regionserver/metrics,ramkrishna,
src/main/java/org/apache/hadoop/hbase/regionserver/wal,ramkrishna,
src/main/java/org/apache/hadoop/hbase/replication,ramkrishna,
src/main/java/org/apache/hadoop/hbase/replication/regionserver,ramkrishna,
src/main/java/org/apache/hadoop/hbase/rest,ramkrishna,
src/main/java/org/apache/hadoop/hbase/rest/client,ramkrishna,
src/main/java/org/apache/hadoop/hbase/rest/metrics,ramkrishna,
src/main/java/org/apache/hadoop/hbase/rest/model,ramkrishna,
